Model,Fold,Site,N,ACC
Single_TS_Riemann_LogReg_CC200,1,CALTECH,8,0.375
Single_TS_Riemann_LogReg_CC200,1,CMU,4,0.5
Single_TS_Riemann_LogReg_CC200,1,KKI,9,1.0
Single_TS_Riemann_LogReg_CC200,1,LEUVEN,13,0.6923076923076923
Single_TS_Riemann_LogReg_CC200,1,MAX_MUN,11,0.45454545454545453
Single_TS_Riemann_LogReg_CC200,1,NYU,35,0.7714285714285715
Single_TS_Riemann_LogReg_CC200,1,OHSU,4,0.75
Single_TS_Riemann_LogReg_CC200,1,OLIN,7,0.5714285714285714
Single_TS_Riemann_LogReg_CC200,1,PITT,11,0.9090909090909091
Single_TS_Riemann_LogReg_CC200,1,SBL,6,1.0
Single_TS_Riemann_LogReg_CC200,1,SDSU,7,0.5714285714285714
Single_TS_Riemann_LogReg_CC200,1,STANFORD,8,0.75
Single_TS_Riemann_LogReg_CC200,1,TRINITY,10,0.6
Single_TS_Riemann_LogReg_CC200,1,UCLA,20,0.9
Single_TS_Riemann_LogReg_CC200,1,UM,28,0.7857142857142857
Single_TS_Riemann_LogReg_CC200,1,USM,15,0.8666666666666667
Single_TS_Riemann_LogReg_CC200,1,YALE,11,0.7272727272727273
Single_TS_Riemann_LogReg_CC200,2,CALTECH,7,0.8571428571428571
Single_TS_Riemann_LogReg_CC200,2,CMU,6,0.8333333333333334
Single_TS_Riemann_LogReg_CC200,2,KKI,9,1.0
Single_TS_Riemann_LogReg_CC200,2,LEUVEN,12,0.5833333333333334
Single_TS_Riemann_LogReg_CC200,2,MAX_MUN,11,0.5454545454545454
Single_TS_Riemann_LogReg_CC200,2,NYU,35,0.8285714285714286
Single_TS_Riemann_LogReg_CC200,2,OHSU,5,0.8
Single_TS_Riemann_LogReg_CC200,2,OLIN,7,0.8571428571428571
Single_TS_Riemann_LogReg_CC200,2,PITT,11,0.9090909090909091
Single_TS_Riemann_LogReg_CC200,2,SBL,6,0.6666666666666666
Single_TS_Riemann_LogReg_CC200,2,SDSU,7,0.7142857142857143
Single_TS_Riemann_LogReg_CC200,2,STANFORD,8,0.875
Single_TS_Riemann_LogReg_CC200,2,TRINITY,10,0.6
Single_TS_Riemann_LogReg_CC200,2,UCLA,19,0.7368421052631579
Single_TS_Riemann_LogReg_CC200,2,UM,28,0.6785714285714286
Single_TS_Riemann_LogReg_CC200,2,USM,14,0.7857142857142857
Single_TS_Riemann_LogReg_CC200,2,YALE,12,0.75
Single_TS_Riemann_LogReg_CC200,3,CALTECH,6,0.6666666666666666
Single_TS_Riemann_LogReg_CC200,3,CMU,6,0.3333333333333333
Single_TS_Riemann_LogReg_CC200,3,KKI,10,0.8
Single_TS_Riemann_LogReg_CC200,3,LEUVEN,13,0.8461538461538461
Single_TS_Riemann_LogReg_CC200,3,MAX_MUN,10,0.7
Single_TS_Riemann_LogReg_CC200,3,NYU,35,0.7142857142857143
Single_TS_Riemann_LogReg_CC200,3,OHSU,6,0.8333333333333334
Single_TS_Riemann_LogReg_CC200,3,OLIN,7,1.0
Single_TS_Riemann_LogReg_CC200,3,PITT,12,0.5833333333333334
Single_TS_Riemann_LogReg_CC200,3,SBL,6,0.6666666666666666
Single_TS_Riemann_LogReg_CC200,3,SDSU,6,0.6666666666666666
Single_TS_Riemann_LogReg_CC200,3,STANFORD,8,1.0
Single_TS_Riemann_LogReg_CC200,3,TRINITY,9,0.7777777777777778
Single_TS_Riemann_LogReg_CC200,3,UCLA,20,0.75
Single_TS_Riemann_LogReg_CC200,3,UM,27,0.7407407407407407
Single_TS_Riemann_LogReg_CC200,3,USM,14,0.6428571428571429
Single_TS_Riemann_LogReg_CC200,3,YALE,12,0.8333333333333334
Single_TS_Riemann_LogReg_CC200,4,CALTECH,8,0.625
Single_TS_Riemann_LogReg_CC200,4,CMU,6,1.0
Single_TS_Riemann_LogReg_CC200,4,KKI,10,0.9
Single_TS_Riemann_LogReg_CC200,4,LEUVEN,13,0.7692307692307693
Single_TS_Riemann_LogReg_CC200,4,MAX_MUN,9,0.3333333333333333
Single_TS_Riemann_LogReg_CC200,4,NYU,35,0.8857142857142857
Single_TS_Riemann_LogReg_CC200,4,OHSU,6,0.3333333333333333
Single_TS_Riemann_LogReg_CC200,4,OLIN,6,0.6666666666666666
Single_TS_Riemann_LogReg_CC200,4,PITT,11,0.7272727272727273
Single_TS_Riemann_LogReg_CC200,4,SBL,6,0.3333333333333333
Single_TS_Riemann_LogReg_CC200,4,SDSU,8,0.875
Single_TS_Riemann_LogReg_CC200,4,STANFORD,8,0.625
Single_TS_Riemann_LogReg_CC200,4,TRINITY,9,0.5555555555555556
Single_TS_Riemann_LogReg_CC200,4,UCLA,19,0.7368421052631579
Single_TS_Riemann_LogReg_CC200,4,UM,28,0.75
Single_TS_Riemann_LogReg_CC200,4,USM,14,0.7857142857142857
Single_TS_Riemann_LogReg_CC200,4,YALE,11,0.6363636363636364
Single_TS_Riemann_LogReg_CC200,5,CALTECH,8,0.625
Single_TS_Riemann_LogReg_CC200,5,CMU,5,0.4
Single_TS_Riemann_LogReg_CC200,5,KKI,10,0.5
Single_TS_Riemann_LogReg_CC200,5,LEUVEN,12,0.5833333333333334
Single_TS_Riemann_LogReg_CC200,5,MAX_MUN,11,0.5454545454545454
Single_TS_Riemann_LogReg_CC200,5,NYU,35,0.6571428571428571
Single_TS_Riemann_LogReg_CC200,5,OHSU,5,0.4
Single_TS_Riemann_LogReg_CC200,5,OLIN,7,0.5714285714285714
Single_TS_Riemann_LogReg_CC200,5,PITT,11,0.8181818181818182
Single_TS_Riemann_LogReg_CC200,5,SBL,6,0.5
Single_TS_Riemann_LogReg_CC200,5,SDSU,8,0.625
Single_TS_Riemann_LogReg_CC200,5,STANFORD,7,0.7142857142857143
Single_TS_Riemann_LogReg_CC200,5,TRINITY,9,0.7777777777777778
Single_TS_Riemann_LogReg_CC200,5,UCLA,20,0.55
Single_TS_Riemann_LogReg_CC200,5,UM,29,0.5862068965517241
Single_TS_Riemann_LogReg_CC200,5,USM,14,0.7857142857142857
Single_TS_Riemann_LogReg_CC200,5,YALE,10,0.9
