Site,Total_Samples_Tested,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std
CALTECH,37,0.6261904761904762,0.07957066626405243,0.7430555555555556,0.12850037229133754
CMU,27,0.58,0.23874672772626646,0.6611111111111112,0.279107926379566
KKI,48,0.8177777777777777,0.21582457439684724,0.89,0.1271918935222594
LEUVEN,63,0.7294871794871794,0.0720120342050442,0.7161904761904763,0.06976474884499977
MAX_MUN,52,0.4248484848484848,0.22968817445382383,0.48933333333333334,0.2830186487769941
NYU,175,0.7485714285714286,0.09345958419312077,0.8380000000000001,0.0887092629511334
OHSU,26,0.5900000000000001,0.21068670790747315,0.8,0.2154524381073924
OLIN,34,0.6714285714285714,0.17202277969703278,0.7555555555555555,0.22180516419641255
PITT,56,0.6803030303030303,0.09284553757486988,0.8011111111111111,0.029896942326830465
SBL,30,0.6,0.19002923751652304,0.5555555555555556,0.3142696805273545
SDSU,36,0.7154761904761905,0.16753599809472705,0.8316666666666667,0.13646326326972477
STANFORD,39,0.7142857142857142,0.17267035362333677,0.8375,0.10897247358851683
TRINITY,47,0.6644444444444444,0.2123356299660667,0.736,0.14065560778013794
UCLA,98,0.7247368421052631,0.11418748251640767,0.8234848484848485,0.08620104015937809
UM,140,0.7297299762817004,0.07860666427723352,0.8182417582417582,0.034667112540830124
USM,71,0.759047619047619,0.06764586993173245,0.8413333333333334,0.10394300432519812
YALE,56,0.7375757575757576,0.11240443344229765,0.8022222222222222,0.12773429211733253
