Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.6261904761904762,0.14817722810778047
CMU,27,0.6133333333333334,0.28925190866555517
KKI,48,0.7977777777777778,0.1986684066540756
LEUVEN,63,0.7294871794871794,0.0720120342050442
MAX_MUN,52,0.46121212121212124,0.2133987503007825
NYU,175,0.7485714285714286,0.08898520858512828
OHSU,26,0.5900000000000001,0.21068670790747315
OLIN,34,0.6714285714285714,0.17202277969703278
PITT,56,0.6984848484848485,0.12860950213885455
SBL,30,0.6,0.19002923751652304
SDSU,36,0.7154761904761905,0.16753599809472705
STANFORD,39,0.7142857142857142,0.17267035362333677
TRINITY,47,0.6644444444444444,0.2123356299660667
UCLA,98,0.7247368421052631,0.11418748251640767
UM,140,0.708283160007298,0.08089411458785083
USM,71,0.759047619047619,0.06764586993173245
YALE,56,0.7542424242424243,0.08716007038549903
